"","PC1","PC2"
"40",-0.281637179434121,-0.141740969696788
"42",0.217116589848011,-0.304192714396859
"96",-0.135950410299037,-0.0686313936166589
"119",-0.132772605803233,-0.143248525010287
"120",-0.132772605803233,-0.143248525010287
"121",-0.159418728269927,-0.167155701736897
"122",-0.132772605803233,-0.143248525010287
"164",0.196750878144124,0.975906571313558
"165",-0.214781991193347,-0.236569552138783
"166",-0.214781991193347,-0.236569552138783
"167",-0.214781991193347,-0.236569552138783
"168",-0.234030072460801,-0.239712658649172
"216",-0.468934845183555,-0.168289783774168
"217",-0.468934845183555,-0.168289783774168
"218",-0.468934845183555,-0.168289783774168
"219",-0.468934845183555,-0.168289783774168
"220",-0.468934845183555,-0.168289783774168
"221",-0.468934845183555,-0.168289783774168
"222",-0.468934845183555,-0.168289783774168
"223",-0.468934845183555,-0.168289783774168
"224",-0.468934845183555,-0.168289783774168
"225",-0.468934845183555,-0.168289783774168
"226",-0.468934845183555,-0.168289783774168
"227",-0.468934845183555,-0.168289783774168
"228",-0.468934845183555,-0.168289783774168
"229",-0.468934845183555,-0.168289783774168
"230",-0.468934845183555,-0.168289783774168
"231",-0.468934845183555,-0.168289783774168
"232",-0.468934845183555,-0.168289783774168
"233",-0.468934845183555,-0.168289783774168
"234",-0.468934845183555,-0.168289783774168
"235",-0.468934845183555,-0.168289783774168
"241",-0.088379039245312,-0.0265648051465374
"250",-0.132772605803233,-0.143248525010287
"251",-0.132772605803233,-0.143248525010287
"252",-0.159418728269927,-0.167155701736897
"253",-0.132772605803233,-0.143248525010287
"260",0.130425911065908,-0.0271356823283143
"261",0.130425911065908,-0.0271356823283143
"296",-0.0623970568690105,-0.163509741253646
"297",0.522280695120822,-0.165723012624261
"298",0.818981476801992,-0.485288751994579
"299",1,-0.590123817346949
"300",1,-0.590123817346949
"301",1,-0.590123817346949
"302",1,-0.590123817346949
"303",1,-0.590123817346949
"304",1,-0.590123817346949
"305",1,-0.590123817346949
"306",0.159130124449871,0.650967216007029
"311",-0.136988635566327,-0.206103972612205
"483",-0.294650203198041,0.0978278256927971
"484",-0.294650203198041,0.0978278256927971
"519",0.396467213595136,0.440444256263613
"532",-0.132605149224166,-0.504935607721416
"567",-0.466864167361468,-0.219679539902184
"568",-0.330203379809398,-0.128069445904054
"581",0.196750878144124,0.975906571313558
"590",0.0531174889698347,0.106487623723288
"593",0.357085905414234,-0.152255443252419
"596",0.293062583369356,0.0121228799087361
"611",-0.0821016374966732,0.132153296133291
"612",-0.0821016374966732,0.132153296133291
"633",-0.0637812815461989,0.240662853549654
"634",0.14516915438032,0.545597301567061
"643",0.293062583369356,0.0121228799087361
"644",0.293062583369356,0.0121228799087361
"645",0.293062583369356,0.0121228799087361
"646",0.522280695120822,-0.165723012624261
"647",0.293062583369356,0.0121228799087361
"648",0.206959313861129,0.103808355840342
"649",0.310363944086909,0.532129732195219
"650",0.310363944086909,0.532129732195219
"651",0.148662145118681,0.690961227625493
"686",0.159130124449871,0.650967216007029
"687",0.14516915438032,0.545597301567061
"694",-0.186811841036831,-0.219540727171299
"695",-0.186811841036831,-0.219540727171299
"696",-0.186811841036831,-0.219540727171299
"741",-0.303386474160746,-0.122024172088612
"742",-0.471080197124562,-0.282534987504103
"754",0.0304788755837435,0.180155176838333
"755",0.0304788755837435,0.180155176838333
"756",0.0304788755837435,0.180155176838333
"757",0.0304788755837435,0.180155176838333
"758",0.0304788755837435,0.180155176838333
"759",0.0304788755837435,0.180155176838333
"772",-0.217283204652518,-0.213709648020218
"773",0.0500882272715796,0.779422058123761
"780",0.196491334529939,0.143802367458806
"823",-0.0821016374966732,0.132153296133291
"824",-0.0821016374966732,0.132153296133291
"825",-0.0821016374966732,0.132153296133291
"826",-0.0821016374966732,0.132153296133291
"827",-0.0821016374966732,0.132153296133291
"828",-0.0821016374966732,0.132153296133291
"829",-0.0821016374966732,0.132153296133291
"830",-0.0821016374966732,0.132153296133291
"831",-0.0821016374966732,0.132153296133291
"864",0.310363944086909,0.532129732195219
"865",0.310363944086909,0.532129732195219
"866",0.310363944086909,0.532129732195219
"867",0.293062583369356,0.0121228799087361
"868",0.117399814331578,0.0655844608990423
"887",0.117399814331578,0.0655844608990423
"888",0.03129654482335,0.157269936830648
"908",0.206959313861129,0.103808355840342
"930",0.32432491415646,0.637499646635187
"952",0.00465042235665634,0.133362760104037
"954",-0.211810589679119,-0.0941412826703112
"972",-0.466864167361468,-0.219679539902184
"981",0.117399814331578,0.0655844608990423
"982",0.117399814331578,0.0655844608990423
"983",0.117399814331578,0.0655844608990423
"984",0.117399814331578,0.0655844608990423
"985",0.042649509638645,0.146481635341752
"986",0.117399814331578,0.0655844608990423
"987",0.117399814331578,0.0655844608990423
